Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Чикская,столовая,Столовые; Доставка еды; Банкетные залы; Кейтеринг,"село Прокудское, птицефабрика",2 этаж,632660,,,,Коченевский район,Новосибирская область,Россия,Пн: 07:00-14:00; Вт: 07:00-14:00; Ср: 07:00-14:00; Чт: 07:00-14:00; Пт: 07:00-14:00; Сб: 07:00-14:00; Вс: 07:00-14:00,+07:00,5.0,18,89994512445,,,,http://chikskayastolovaya.tb.ru/main,,,https://vk.com/stolovayachikpticefabrika,https://wa.me/79994512445,,,,,,,55.003141,82.47522,https://2gis.com/firm/70000001096861625,branch
Чилгази,кафе,Быстрое питание; Доставка еды,"улица Сибиряков-Гвардейцев, 56в",около автомойки Скиф,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,4.7,97,89039017070,89137098080,,,,,,,https://wa.me/79039017070,,viber://chat/?number=79039017070,,,,,54.950354,82.898773,https://2gis.com/firm/70000001044162078,branch
Чим-Чим,кафе,Кафе,"улица Ленина, 89/15",цокольный этаж,633010,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 11:30-16:30; Вт: 11:30-16:30; Ср: 11:30-16:30; Чт: 11:30-16:30; Пт: 11:30-16:30,+07:00,4.2,19,89137324243,,,,,,,,,,,,,,,54.757563,83.114253,https://2gis.com/firm/70000001046878254,branch
Чохохбили,кафе быстрого питания,Быстрое питание,"Марата 2-я, 60",,630030,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.5,39,89130095461,89130135171,,,,,,,https://wa.me/79130135171,,,,,,,54.97984,83.058842,https://2gis.com/firm/70000001100349318,branch
Чохохбили,кафе быстрого питания,Быстрое питание,"Первомайская улица, 196 к4",,630030,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+07:00,4.7,28,89130095461,89130135171,,,,,,,https://wa.me/79130135171,,,,,,,54.974783,83.069402,https://2gis.com/firm/70000001098183158,branch
Чудо,кафе национальной кухни,Быстрое питание; Доставка еды,"Гурьевская улица, 68/2",,630008,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.4,168,89237775242,,,,,,,,https://wa.me/79237775242,,,,,,,55.014081,82.952106,https://2gis.com/firm/70000001034878868,branch
Чум,кафе быстрого питания,Быстрое питание,"улица Восход, 1а",1 этаж,630102,Восход ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+07:00,3.7,4,89642812550,,,,,,,,https://wa.me/79642812550,,,,,,,55.011893,82.939796,https://2gis.com/firm/70000001084467839,branch
Чучвара,,Кафе; Рестораны; Доставка еды,"площадь Карла Маркса, 7",3 этаж,630048,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.4,2085,83833629056,,,,http://chuchvara.taplink.ws,,,,,,,,,,,54.980431,82.897111,https://2gis.com/firm/70000001006747757,branch
Шaуroom,,Быстрое питание; Доставка еды,,,633100,,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+07:00,4.9,150,89537676556,,,,,,,,https://wa.me/79537676556,,,,,,,54.989724,82.729762,https://2gis.com/firm/70000001091824277,branch
Шавер хаус,,Кафе; Быстрое питание,"Приморье, 21",,630555,ДНТ Рыболов,,,Новосибирский район,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,4.3,25,89538962682,,,,,,,,,,,,,,,54.83141,82.897113,https://2gis.com/firm/70000001101123414,branch
Шавер хаус,,Быстрое питание,"Абаканская улица, 1",,630057,ОбьГЭС м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.6,82,89963764045,,,,,,,,https://wa.me/79963764045,,,,,,,54.861972,82.964487,https://2gis.com/firm/70000001083506768,branch
Шаверма city,,Быстрое питание,"Новосибирская улица, 22/1 к1",,630136,Троллейный ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,3.6,117,89104667850,,,,,,,,,,,,,,,54.987951,82.843526,https://2gis.com/firm/70000001050304910,branch
Шаверма Хаус,,Быстрое питание,"улица Ленина, 108/1",,633004,,,Бердск,Бердск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00,+07:00,4.9,86,89537675712,,Zprunenko@yandex.ru,,,,,https://vk.com/club227555077,https://wa.me/79537675712,,,,https://t.me/+79537675712,,,54.756772,83.115433,https://2gis.com/firm/70000001088053199,branch
Шаверма-сити,,Быстрое питание,"Лузгина, 1 к1 киоск",,630059,,Первомайский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.5,7,89133964685,,,,,,,,,,,,,,,54.924905,83.078435,https://2gis.com/firm/70000001103002016,branch
ШавермаFriends,,Быстрое питание,"Большевистская улица, 45/1",1 этаж,630009,,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,3.2,14,,,,,,,,,,,,,,,,55.007228,82.937799,https://2gis.com/firm/70000001093684778,branch
Шампур,кафе-шашлычная,Быстрое питание,"улица Виктора Уса, 11а",вход с торца,630106,Затулинский ж/м,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+07:00,4.8,284,89628409982,,,,,,,,,,,,,,,54.93745,82.887615,https://2gis.com/firm/70000001047579036,branch
Шар-шара,кафе узбекской кухни,Кафе,"Николая Шипилова, 14/1",,630040,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,3.8,93,89138939436,89134650606,,,,,,,,,,,,,,55.116534,82.912601,https://2gis.com/firm/70000001066960298,branch
Шарик,первый семейный ресторан,Рестораны,"Каменская улица, 1а",2 этаж,630099,,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+07:00,3.9,1699,89231580112,89231451838,,,http://шарик-ресторан.рф/,http://jivo.chat/zidT5x1KG1,,https://vk.com/sharikrestaurant,https://wa.me/79231451838,,,,https://t.me/sharik_rest,,,55.025507,82.926591,https://2gis.com/firm/70000001041018134,branch
Шарлоttа,кафе,Кафе; Доставка еды,"Октябрьская улица, 36",,633261,,,,Ордынский район,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,3.9,110,89134578413,89231840049,,,http://www.cafe-sharlotta.ru,,,https://vk.com/sharlotta_ord,https://wa.me/79137871346,,,,,,,54.364029,81.910706,https://2gis.com/firm/70000001022188838,branch
Шато,банкет-холл,Кафе,"Солнечная улица, 11а",,630530,,,,Новосибирский район,Новосибирская область,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (по предварительной записи),+07:00,4.8,21,89137181859,,,,,,,https://vk.com/banket_shato,https://wa.me/79137181859,,,,,,,55.09162,83.055536,https://2gis.com/firm/70000001078913964,branch
Шаурма 50см,,Быстрое питание,"Сухарная улица, 68 к1 киоск",,630001,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:30-21:00; Вт: 09:30-21:00; Ср: 09:30-21:00; Чт: 09:30-21:00; Пт: 09:30-21:00; Сб: 09:30-21:00,+07:00,4.5,58,89036696506 (предзаказ),,,,,,,,https://wa.me/79036696506,,,,,,,55.045718,82.879101,https://2gis.com/firm/70000001074373119,branch
Шаурма 54,,Быстрое питание,"улица Никитина, 62 к5 киоск",,630008,Никитинский м-н,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,5.0,1,89638509652,,,,,,,,https://wa.me/79638509652,,,,,,,55.011718,82.959338,https://2gis.com/firm/70000001101420336,branch
Шаурма 54,,Быстрое питание,"Геодезическая улица, 5/1 киоск",,630073,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+07:00,4.8,78,89960738886,,,,,,,,,,,,,,,54.989796,82.904431,https://2gis.com/firm/70000001095354909,branch
Шаурма 54,,Быстрое питание,"улица Дуси Ковальчук, 73 к2",,630001,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.8,239,89137745442,,,,,,,,,,,,,,,55.052476,82.894299,https://2gis.com/firm/70000001068896915,branch
Шаурма City,кафе быстрого питания,Быстрое питание,"Комсомольская улица, 16 к2",,630066,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,4.7,21,,,,,,,,,,,,,,,,54.957542,82.961965,https://2gis.com/firm/70000001090484485,branch
Шаурма house,,Быстрое питание,"Выборная улица, 125/1а",,630126,Энергостроителей ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+07:00,4.5,54,,,,,,,,,,,,,,,,55.003048,83.020381,https://2gis.com/firm/70000001091605983,branch
Шаурма house,киоск по продаже шаурмы и напитков,Быстрое питание,,,630121,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,4.4,121,89690747265,,,,,,,,,,,,,,,54.984503,82.801955,https://2gis.com/firm/70000001062348317,branch
Шаурма №1,г. Новосибирск,Быстрое питание,"Дмитрия Шмонина, 6а",,630023,Южно-Чемской м-н,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+07:00,4.2,26,89538863829,,,,,,,,,,,,,,,54.942326,82.959218,https://2gis.com/firm/70000001096241115,branch
Шаурма №1,кафе быстрого питания,Быстрое питание,"улица Иванова, 30 киоск",,630117,Нижняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00,+07:00,3.4,8,89294663383,,,,,,,,,,,,https://t.me/+79399114285,,,54.867978,83.092817,https://2gis.com/firm/70000001100783343,branch
Шаурма №1,киоск,Быстрое питание,"Русская улица, 5 к1 киоск",,630058,Шлюз м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.2,75,89231294828,,,,,,,,,,,,,,,54.848189,83.041963,https://2gis.com/firm/70000001067320507,branch
Шаурма Shop,кафе быстрого питания,Быстрое питание,"проспект Дзержинского, 2/2",1 этаж,630112,Берёзовая роща м-н,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.6,166,89039322232,,,,http://шаурмашоп.рф,,,,https://wa.me/79039322232,,viber://chat/?number=79039322232,,,,,55.043926,82.953753,https://2gis.com/firm/70000001087770895,branch
Шаурма Д-54,,Быстрое питание,"Комсомольский проспект, 8 к1",,630004,,Железнодорожный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00,+07:00,4.8,82,89231812454,,,,http://t.me/d54nsk,,,https://vk.com/d54_nsk,https://wa.me/79231812454,,,,https://t.me/+79231812454,,,55.030817,82.902109,https://2gis.com/firm/70000001097343299,branch
Шаурма для души,,Быстрое питание,,,630079,Станиславский ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.2,17,89137864747 (единый номер: пн-вс 10:00-22:00),89529162027,,,,,,,https://wa.me/79137864747,,,,,,,54.969147,82.873501,https://2gis.com/firm/70000001102238353,branch
Шаурма для души,,Быстрое питание,"проспект Карла Маркса, 39 к1",,630073,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.5,38,89137864747 (единый номер: пн-вс 10:00-22:00),89529162027,,,,,,,https://wa.me/79137864747,,,,,,,54.989749,82.906875,https://2gis.com/firm/70000001097159396,branch
Шаурма для души,,Быстрое питание,"улица Петухова, 16/5",,630088,Затулинский ж/м,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,3.8,19,,,,,,,,,,,,,,,,54.941041,82.89704,https://2gis.com/firm/70000001091403117,branch
Шаурма для души,,Быстрое питание,"улица Зорге, 267 к5",,630119,Затулинский ж/м,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.4,58,89137864747 (единый номер: пн-вс 10:00-22:00),89529162027,,,,,,,https://wa.me/79137864747,,,,,,,54.933663,82.925457,https://2gis.com/firm/70000001063885097,branch
Шаурма для души,,Быстрое питание,"улица Петухова, 95 к1",,630022,Южно-Чемской м-н,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,3.5,61,89137864747 (единый номер: пн-вс 10:00-22:00),89529162027,,,,,,,https://wa.me/79137864747,,,,,,,54.939413,82.948452,https://2gis.com/firm/70000001059709769,branch
Шаурма для души,,Быстрое питание,"улица Петухова, 69/5а",,630088,,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.4,58,89137864747 (единый номер: пн-вс 10:00-22:00),89529162027,,,,,,,https://wa.me/79137864747,,,,,,,54.941851,82.906015,https://2gis.com/firm/70000001033475999,branch
Шаурма для души ,г. Новосибирск ,Быстрое питание,,,630023,Южно-Чемской м-н,Кировский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,2.5,5,,,,,,,,,,,,,,,,54.942181,82.967901,https://2gis.com/firm/70000001095604497,branch
Шаурма для души,точка быстрого питания,Быстрое питание,"улица Титова, 182а к1",,630120,Западный м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,3.7,56,89537732255,,,,,,,,,,,,,,,54.980766,82.835074,https://2gis.com/firm/70000001074554637,branch
Шаурма Дубай,кафе быстрого питания,Быстрое питание,"Курганская улица, 38 к3",,630045,Юго-Западный ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.4,88,,,,,,,,,https://wa.me/79538808164,,,,,,,54.970203,82.843191,https://2gis.com/firm/70000001069921017,branch
Шаурма Дурум,киоск по продаже шаурмы,Быстрое питание,,,633162,,,,Колыванский район,Новосибирская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.9,21,89231218626,,,,,,,,https://wa.me/79231218626,,,,,,,55.305068,82.736275,https://2gis.com/firm/70000001082505040,branch
Шаурма и манты,киоск,Кафе; Быстрое питание,,,630555,ДНТ Лагуна,,,Новосибирский район,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,5.0,5,89529324488,,,,,,,,,,,,,,,54.835084,82.907912,https://2gis.com/firm/70000001102499688,branch
Шаурма и Шашлык,Фуд-киоск шаурмы и шашлыка,Быстрое питание,"улица Ломоносова, 9 к2",,633103,Авиаторов пос.,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+07:00,4.6,56,89231594187,,,,,,,,,,,,,,,54.995296,82.690614,https://2gis.com/firm/70000001062807750,branch
Шаурма и Шашлык,Фуд-киоск шаурмы и шашлыка,Быстрое питание; Доставка еды,"улица Максима Горького, 3 к3",,633102,,,Обь,Обь городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,3.9,60,89930051918,,,,,,,,,,,,,,,54.990632,82.710573,https://2gis.com/firm/70000001039704065,branch
Шаурма люкс,,Быстрое питание,"Учительская улица, 21/1",,630110,Богдана Хмельницкого м-н,Калининский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.6,425,89137883410,,,,,,,,,,,,,,,55.079083,82.96814,https://2gis.com/firm/141265771664410,branch
Шаурма люкс,кафе быстрого питания,Быстрое питание,"Выборная улица, 142/3 к2",,630126,Энергостроителей ж/м,Октябрьский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,3.9,27,,,,,,,,,,,,,,,,55.002773,83.020383,https://2gis.com/firm/70000001037809876,branch
Шаурма лютая Станиславская,,Быстрое питание; Безалкогольные напитки,"улица Станиславского, 17",1 этаж,630054,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 08:00-20:00; Вс: 08:00-20:00,+07:00,2.2,16,,,,,,,,,,,,,,,,54.98185,82.872931,https://2gis.com/firm/70000001060057324,branch
Шаурма на Колхидская,,Быстрое питание,"улица Забалуева, 45 к2",,630096,Западный м-н,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,3.8,34,89622155402,,,,,,,,,,,,,,,54.988658,82.815734,https://2gis.com/firm/70000001100216560,branch
Шаурма на Ленина,,Быстрое питание; Доставка еды; Точки кофе,"улица Ленина, 3",1 этаж,630099,Тихий центр м-н,Центральный район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,3.8,686,,,,,,,,,,,,,,,,55.029582,82.916986,https://2gis.com/firm/70000001018558565,branch
Шаурма на Морском,,Быстрое питание,"Морской проспект, 26",1 этаж,630090,Верхняя зона Академгородка м-н,Советский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.7,217,,,,,,,,,,,,,,,,54.838931,83.105632,https://2gis.com/firm/70000001063022390,branch
Шаурма на Студенческой,Точка быстрого питания,Быстрое питание,"Геодезическая улица, 7/1",,630073,,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+07:00,4.8,315,89994515581,,,,,,,https://vk.com/id789334013,,,,,https://t.me/+79513726060,,,54.989841,82.904491,https://2gis.com/firm/70000001069934473,branch
Шаурма на углях,,Быстрое питание,"улица Дуси Ковальчук, 398а",,630075,,Заельцовский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+07:00,4.8,1826,89930010086,,shaurma.na.uglyah@yandex.ru,,,,,,,,,,,,,55.065844,82.9296,https://2gis.com/firm/70000001045061932,branch
Шаурма на углях,кафе быстрого питания,Быстрое питание,,,630015,,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 08:00-18:00; Вт: 08:00-18:00; Ср: 08:00-18:00; Чт: 08:00-18:00; Пт: 08:00-18:00,+07:00,5.0,17,89133813525,,,,,,,,https://wa.me/79133813525,,,,,,,55.05762,82.96362,https://2gis.com/firm/70000001083321422,branch
Шаурма на углях,киоск,Быстрое питание,,,630112,Берёзовая роща м-н,Дзержинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,4.3,327,89139272211 (приём заказов),,,,,,,,https://wa.me/79139272211,,,,https://t.me/+79139272211,,,55.044294,82.952691,https://2gis.com/firm/70000001088205531,branch
Шаурма на углях-Наша марка,,Быстрое питание,"улица 9 Гвардейской Дивизии, 22 к9",,630045,Юго-Западный ж/м,Ленинский район,Новосибирск,Новосибирск городской округ,Новосибирская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+07:00,4.8,469,89134650702,,,,,,,,https://wa.me/79134650702,,,,,,,54.970727,82.845488,https://2gis.com/firm/70000001079658519,branch
